"id","nama","kecamatan_id","longitude","latitude"
"234","SIOMPIN","1102033",NULL,NULL
"235","BULU ARA","1102033",NULL,NULL
"236","LAE BANGUN","1102033",NULL,NULL
"237","BULU SEMA","1102033",NULL,NULL
"238","PANGKALAN SULAMPI","1102033",NULL,NULL
"239","SURO BARU","1102033",NULL,NULL
"240","SRI KAYU","1102042",NULL,NULL
"241","PEA JAMBU","1102042",NULL,NULL
"242","LAE PINANG","1102042",NULL,NULL
"243","SINGKOHOR","1102042",NULL,NULL
"244","MUKTI JAYA","1102042",NULL,NULL
"245","LAE SIPOLA","1102042",NULL,NULL
"246","MUARA PEA","1102043",NULL,NULL
"247","SUMBER MUKTI","1102043",NULL,NULL
"248","LADANG BISIK","1102043",NULL,NULL
"249","SAMAR DUA","1102043",NULL,NULL
"250","BUTAR","1102043",NULL,NULL
"251","MUKTI LINCIR","1102043",NULL,NULL
"252","LAPAHAN BUAYA","1102043",NULL,NULL
"253","LENTONG","1102043",NULL,NULL
"254","DANAU BUNGARA","1102043",NULL,NULL
"255","KUTA PADANG","1103010",NULL,NULL
"256","RAKET","1103010",NULL,NULL
"257","GAMPONG TENGAH","1103010",NULL,NULL
"258","TEPIN TINGGI","1103010",NULL,NULL
"259","IE MEUDAMA","1103010",NULL,NULL
"260","UJONG TAN0H","1103010",NULL,NULL
"261","KEUDE TRUMON","1103010",NULL,NULL
"262","KUTA BARU","1103010",NULL,NULL
"263","SINGLENG","1103010",NULL,NULL
"264","PANTON BILI","1103010",NULL,NULL
"265","UPT II PD HARAPAN","1103010",NULL,NULL
"266","SEUNABOK JAYA (EX UPT V)","1103010",NULL,NULL
"267","TITI POBEN","1103011",NULL,NULL
"268","ALUR BUJOK","1103011",NULL,NULL
"269","SEUNEUBOK PUNTHO","1103011",NULL,NULL
"270","PINTO RIMBA","1103011",NULL,NULL
"271","KRUNG LUAS","1103011",NULL,NULL
"272","JAMBO DALEM","1103011",NULL,NULL
"273","KAPAI SEUSAK","1103011",NULL,NULL
"274","UPT I SNB PUSAKA","1103011",NULL,NULL
"275","LHOK RAYA","1103012",NULL,NULL
"276","IE JEUREUNEH","1103012",NULL,NULL
"277","NACA","1103012",NULL,NULL
"278","COT BAYU","1103012",NULL,NULL
"279","JAMBO PAPEUN","1103012",NULL,NULL
"280","LADANG RIMBA","1103012",NULL,NULL
"281","PULO PAYA","1103012",NULL,NULL
"282","KRUENG BATEE","1103012",NULL,NULL
"283","KAMPONG TEUNGOH","1103012",NULL,NULL
"284","GUNONG KAPHO","1103012",NULL,NULL
"285","UJUNG MANGKI","1103020",NULL,NULL
